Ath_Gene,Ath_Transcript,Ptr_Gene,Ptr_Transcript,Identity,Coverage,Evalue,Bitscore
AT1G76470,AT1G76470.1,Potri.005G257700,Potri.005G257700.5,55.486,98,1.63e-122,358
AT1G76480,AT1G76480.2,Potri.006G234800,Potri.006G234800.2,52.736,85,1.08e-55,177
AT1G76490,AT1G76490.1,Potri.002G004000,Potri.002G004000.2,77.327,91,0,950
AT1G76500,AT1G76500.1,Potri.008G058700,Potri.008G058700.9,55.122,65,1.65e-71,224
AT1G76510,AT1G76510.3,Potri.002G003700,Potri.002G003700.1,57.82,84,2.23e-152,442
AT1G76520,AT1G76520.1,Potri.002G003500,Potri.002G003500.1,56.585,99,7.85e-173,488
AT1G76530,AT1G76530.1,Potri.002G003500,Potri.002G003500.1,52.246,100,8.32e-153,439
AT1G76540,AT1G76540.1,Potri.002G003400,Potri.002G003400.1,84.74,98,0,553
AT1G76550,AT1G76550.1,Potri.005G257800,Potri.005G257800.3,83.876,99,0,1105
AT1G76560,AT1G76560.1,Potri.002G002700,Potri.002G002700.1,68.605,64,8.05e-37,123
AT1G76570,AT1G76570.1,Potri.005G258600,Potri.005G258600.1,79.791,88,2.39e-177,494
AT1G76580,AT1G76580.1,Potri.002G002400,Potri.002G002400.1,56.458,94,0,1028
AT1G76590,AT1G76590.1,Potri.005G259000,Potri.005G259000.11,74.892,93,2.46e-125,355
AT1G76600,AT1G76600.1,Potri.005G259100,Potri.005G259100.1,50.926,98,3.96e-60,188
AT1G76610,AT1G76610.1,Potri.002G002000,Potri.002G002000.1,57.851,100,5.34e-84,250
AT1G76620,AT1G76620.1,Potri.002G001900,Potri.002G001900.9,51.073,85,3.97e-141,418
AT1G76630,AT1G76630.2,Potri.002G001700,Potri.002G001700.1,59.624,99,0,1416
AT1G76640,AT1G76640.1,Potri.005G259900,Potri.005G259900.1,54.225,88,4.47e-46,149
AT1G76650,AT1G76650.1,Potri.002G001400,Potri.002G001400.1,51.136,96,2.69e-49,158
AT1G76660,AT1G76660.1,Potri.002G001100,Potri.002G001100.5,60.083,98,0,515
AT1G76670,AT1G76670.1,Potri.005G260300,Potri.005G260300.1,80.758,98,0,549
AT1G76680,AT1G76680.2,Potri.013G102700,Potri.013G102700.1,73.846,98,0,608
AT1G76690,AT1G76690.1,Potri.013G102700,Potri.013G102700.1,80,97,0,630
AT1G76700,AT1G76700.1,Potri.002G000300,Potri.002G000300.2,75.186,99,0,599
AT1G76710,AT1G76710.1,Potri.005G195400,Potri.005G195400.1,65.524,98,0,657
AT1G76720,AT1G76720.1,Potri.012G039200,Potri.012G039200.7,67.312,80,0,1103
AT1G76730,AT1G76730.1,Potri.005G194800,Potri.005G194800.1,76.147,92,0,516
AT1G76750,AT1G76750.1,Potri.009G077000,Potri.009G077000.2,47.287,74,2.18e-37,126
AT1G76760,AT1G76760.1,Potri.005G193400,Potri.005G193400.2,61.494,99,2.85e-67,203
AT1G76770,AT1G76770.1,Potri.002G067700,Potri.002G067700.1,57.554,57,1.73e-49,168
AT1G76790,AT1G76790.1,Potri.012G006400,Potri.012G006400.1,43.324,98,8.37e-100,300
AT1G76800,AT1G76800.1,Potri.005G190800,Potri.005G190800.1,73.196,94,3.72e-90,263
AT1G76810,AT1G76810.1,Potri.012G039200,Potri.012G039200.1,67.382,84,0,1259
AT1G76820,AT1G76820.1,Potri.012G039200,Potri.012G039200.7,63.899,93,0,1174
AT1G76850,AT1G76850.1,Potri.002G068900,Potri.002G068900.1,69.447,99,0,1483
AT1G76860,AT1G76860.1,Potri.005G191600,Potri.005G191600.2,88.66,98,4.79e-59,176
AT1G76870,AT1G76870.1,Potri.002G068700,Potri.002G068700.8,58.568,89,3.97e-143,414
AT1G76880,AT1G76880.1,Potri.002G068600,Potri.002G068600.1,56.53,87,1.76e-172,503
AT1G76890,AT1G76890.2,Potri.002G068400,Potri.002G068400.1,50.386,86,2.22e-144,430
AT1G76900,AT1G76900.1,Potri.005G192400,Potri.005G192400.5,72.149,100,0,634
AT1G76920,AT1G76920.1,Potri.005G190400,Potri.005G190400.1,72.872,99,0,544
AT1G76940,AT1G76940.1,Potri.002G070200,Potri.002G070200.1,52.549,100,1.57e-76,232
AT1G76950,AT1G76950.1,Potri.002G070300,Potri.002G070300.1,72.392,99,0,1601
AT1G76970,AT1G76970.1,Potri.002G075500,Potri.002G075500.5,55.367,100,5.58e-177,506
AT1G76980,AT1G76980.1,Potri.002G075400,Potri.002G075400.4,48.603,69,4.65e-44,151
AT1G76990,AT1G76990.1,Potri.005G185600,Potri.005G185600.1,76.044,99,0,709
AT1G77000,AT1G77000.1,Potri.005G185700,Potri.005G185700.2,71.24,100,0,553
AT1G77010,AT1G77010.1,Potri.002G075200,Potri.002G075200.1,59.59,97,0,835
AT1G77020,AT1G77020.1,Potri.002G074600,Potri.002G074600.2,74.674,100,0,594
AT1G77030,AT1G77030.1,Potri.005G185900,Potri.005G185900.3,73.377,90,0,1148
AT1G77060,AT1G77060.1,Potri.002G073600,Potri.002G073600.3,69.591,50,1.22e-69,214
AT1G77080,AT1G77080.4,Potri.003G169700,Potri.003G169700.4,46.392,92,3.21e-44,146
AT1G77090,AT1G77090.1,Potri.002G072400,Potri.002G072400.1,73.705,96,1.17e-127,363
AT1G77100,AT1G77100.1,Potri.006G069600,Potri.006G069600.1,47.988,94,2.44e-95,286
AT1G77110,AT1G77110.1,Potri.005G187500,Potri.005G187500.1,68.394,100,0,773
AT1G77120,AT1G77120.1,Potri.007G108601,Potri.007G108601.1,86.28,99,0,692
AT1G77122,AT1G77122.1,Potri.002G071700,Potri.002G071700.1,56.426,94,6.44e-102,302
AT1G77130,AT1G77130.1,Potri.005G187900,Potri.005G187900.4,68.868,98,0,867
AT1G77140,AT1G77140.1,Potri.005G188000,Potri.005G188000.1,85.614,100,0,1001
AT1G77145,AT1G77145.1,Potri.005G188100,Potri.005G188100.1,37.97,100,1.78e-49,163
AT1G77150,AT1G77150.1,Potri.006G164100,Potri.006G164100.1,35.537,97,3e-20,83.2
AT1G77160,AT1G77160.1,Potri.005G188100,Potri.005G188100.1,40.625,85,9.96e-52,169
AT1G77170,AT1G77170.1,Potri.006G164100,Potri.006G164100.1,56.667,96,0,553
AT1G77180,AT1G77180.1,Potri.006G163700,Potri.006G163700.6,76.423,99,0,852
AT1G77200,AT1G77200.1,Potri.018G043900,Potri.018G043900.1,59.067,76,4.51e-56,180
AT1G77210,AT1G77210.1,Potri.018G085200,Potri.018G085200.1,76.754,99,0,806
AT1G77220,AT1G77220.1,Potri.005G188200,Potri.005G188200.3,74.897,100,0,776
AT1G77230,AT1G77230.1,Potri.002G076700,Potri.002G076700.2,54.93,97,3.52e-75,226
AT1G77240,AT1G77240.1,Potri.019G067800,Potri.019G067800.1,61.861,99,0,713
AT1G77250,AT1G77250.1,Potri.002G076900,Potri.002G076900.4,43.873,75,8.97e-110,339
AT1G77260,AT1G77260.1,Potri.008G059500,Potri.008G059500.1,64.199,99,0,908
AT1G77280,AT1G77280.1,Potri.005G182800,Potri.005G182800.1,60.516,94,0,871
AT1G77290,AT1G77290.1,Potri.005G182000,Potri.005G182000.2,74.254,100,5.27e-148,415
AT1G77300,AT1G77300.1,Potri.005G182100,Potri.005G182100.1,44.759,72,0,834
AT1G77310,AT1G77310.1,Potri.005G182300,Potri.005G182300.4,44.987,96,1.14e-175,521
AT1G77320,AT1G77320.1,Potri.005G182500,Potri.005G182500.4,54.192,100,0,1015
AT1G77330,AT1G77330.1,Potri.005G182700,Potri.005G182700.1,72.785,100,4.2e-165,462
AT1G77340,AT1G77340.1,Potri.006G124900,Potri.006G124900.1,47.368,94,4.87e-123,378
AT1G77350,AT1G77350.1,Potri.019G066600,Potri.019G066600.2,76.423,100,5.87e-58,176
AT1G77360,AT1G77360.1,Potri.005G181900,Potri.005G181900.1,72.549,89,0,721
AT1G77370,AT1G77370.1,Potri.007G017300,Potri.007G017300.1,74.757,79,9.18e-53,163
AT1G77380,AT1G77380.1,Potri.002G079500,Potri.002G079500.1,78.826,99,0,805
AT1G77390,AT1G77390.1,Potri.002G080000,Potri.002G080000.1,53.306,99,3.85e-166,477
AT1G77400,AT1G77400.1,Potri.005G181200,Potri.005G181200.1,36.752,99,4.17e-19,82.4
AT1G77405,AT1G77405.1,Potri.002G080300,Potri.002G080300.7,64.045,95,0,616
AT1G77410,AT1G77410.1,Potri.002G080700,Potri.002G080700.1,65.89,99,0,1117
AT1G77420,AT1G77420.1,Potri.010G124000,Potri.010G124000.1,69.101,93,0,511
AT1G77440,AT1G77440.1,Potri.005G180500,Potri.005G180500.1,87.317,100,1.16e-138,386
AT1G77450,AT1G77450.1,Potri.002G081000,Potri.002G081000.1,63.406,93,4.8e-116,334
AT1G77460,AT1G77460.1,Potri.005G180100,Potri.005G180100.11,68.782,99,0,2899
AT1G77470,AT1G77470.1,Potri.002G081200,Potri.002G081200.3,77.748,100,0,577
AT1G77480,AT1G77480.1,Potri.005G179900,Potri.005G179900.1,55.792,90,5.02e-175,498
AT1G77490,AT1G77490.1,Potri.005G179200,Potri.005G179200.2,81.977,80,0,600
AT1G77500,AT1G77500.1,Potri.002G082000,Potri.002G082000.1,50.8,99,0,739
AT1G77510,AT1G77510.1,Potri.002G082100,Potri.002G082100.1,67.793,98,0,706
AT1G77520,AT1G77520.1,Potri.012G006400,Potri.012G006400.1,48.468,94,5.31e-119,350
AT1G77530,AT1G77530.1,Potri.012G006400,Potri.012G006400.1,47.838,96,1.33e-120,354
AT1G77540,AT1G77540.1,Potri.005G178501,Potri.005G178501.1,75.248,88,1.51e-53,164
AT1G77550,AT1G77550.1,Potri.006G141900,Potri.006G141900.3,69.16,100,0,1253
AT1G77570,AT1G77570.1,Potri.001G138900,Potri.001G138900.3,37.838,75,2.96e-19,83.6
AT1G77580,AT1G77580.2,Potri.005G178100,Potri.005G178100.3,47.323,85,1.02e-109,348
AT1G77590,AT1G77590.1,Potri.002G084100,Potri.002G084100.2,74.676,99,0,1088
AT1G77600,AT1G77600.3,Potri.002G084300,Potri.002G084300.2,46.926,99,0,1241
AT1G77610,AT1G77610.1,Potri.005G177200,Potri.005G177200.1,87.791,100,0,588
AT1G77620,AT1G77620.1,Potri.005G177000,Potri.005G177000.1,38.804,99,0,702
AT1G77630,AT1G77630.1,Potri.002G084800,Potri.002G084800.1,61.307,94,3e-177,501
AT1G77640,AT1G77640.1,Potri.002G085600,Potri.002G085600.1,47.41,99,5.16e-43,145
AT1G77660,AT1G77660.1,Potri.005G175800,Potri.005G175800.1,61.048,99,4.55e-169,481
AT1G77670,AT1G77670.1,Potri.002G086000,Potri.002G086000.2,85.464,90,0,731
AT1G77680,AT1G77680.1,Potri.002G086400,Potri.002G086400.1,53.789,97,0,1110
AT1G77690,AT1G77690.1,Potri.002G087000,Potri.002G087000.1,85.775,100,0,846
AT1G77700,AT1G77700.1,Potri.002G087100,Potri.002G087100.1,79.018,63,3.45e-134,384
AT1G77710,AT1G77710.1,Potri.002G087200,Potri.002G087200.2,97.619,89,1.71e-55,167
AT1G77720,AT1G77720.1,Potri.002G087600,Potri.002G087600.1,58.675,99,0,842
AT1G77730,AT1G77730.1,Potri.002G088000,Potri.002G088000.1,59.242,79,7.21e-81,259
AT1G77740,AT1G77740.1,Potri.005G172800,Potri.005G172800.1,72.075,99,0,1157
AT1G77750,AT1G77750.1,Potri.002G088400,Potri.002G088400.1,59.712,90,4.43e-56,175
AT1G77760,AT1G77760.1,Potri.005G172400,Potri.005G172400.1,72.443,100,0,1414
AT1G77770,AT1G77770.1,Potri.002G088700,Potri.002G088700.2,52.313,91,2.04e-88,266
AT1G77780,AT1G77780.1,Potri.005G172000,Potri.005G172000.1,49.701,91,9.47e-115,338
AT1G77790,AT1G77790.1,Potri.005G172000,Potri.005G172000.1,50.321,90,1.51e-107,319
AT1G77800,AT1G77800.1,Potri.002G089400,Potri.002G089400.2,44.935,99,0,1082
AT1G77810,AT1G77810.1,Potri.002G089800,Potri.002G089800.1,74,100,0,621
AT1G77840,AT1G77840.1,Potri.004G093600,Potri.004G093600.3,64.176,99,0,554
AT1G77850,AT1G77850.1,Potri.005G171300,Potri.005G171300.4,53.901,93,0,546
AT1G77855,AT1G77855.1,Potri.002G090300,Potri.002G090300.1,59.337,100,4.19e-130,374
AT1G77860,AT1G77860.1,Potri.002G090400,Potri.002G090400.2,46.108,95,3.66e-106,318
AT1G77870,AT1G77870.1,Potri.001G325900,Potri.001G325900.2,59.664,98,8.06e-44,139
AT1G77880,AT1G77880.1,Potri.014G083200,Potri.014G083200.1,42.667,57,4.84e-11,59.3
AT1G77890,AT1G77890.1,Potri.002G090900,Potri.002G090900.5,51.327,97,1.43e-139,409
AT1G77920,AT1G77920.1,Potri.005G170500,Potri.005G170500.1,64.096,99,5.69e-166,468
AT1G77930,AT1G77930.1,Potri.002G090600,Potri.002G090600.2,70.632,97,4.17e-134,380
AT1G77932,AT1G77932.1,Potri.002G092000,Potri.002G092000.1,43.182,92,3.62e-23,90.5
AT1G77940,AT1G77940.1,Potri.005G080700,Potri.005G080700.1,88.496,100,2.25e-71,208
AT1G77950,AT1G77950.1,Potri.002G092300,Potri.002G092300.1,54.622,92,1.46e-83,254
AT1G77980,AT1G77980.1,Potri.002G092300,Potri.002G092300.1,51.359,99,8.89e-108,319
AT1G77990,AT1G77990.1,Potri.002G092400,Potri.002G092400.1,65.408,97,0,892
AT1G78000,AT1G78000.1,Potri.005G167300,Potri.005G167300.7,76.14,99,0,1045
AT1G78010,AT1G78010.1,Potri.002G092600,Potri.002G092600.1,64.851,100,0,697
AT1G78020,AT1G78020.1,Potri.002G092900,Potri.002G092900.1,50.307,99,5.18e-44,143
AT1G78040,AT1G78040.1,Potri.002G093100,Potri.002G093100.2,47.468,92,2.89e-49,157
AT1G78050,AT1G78050.1,Potri.002G093300,Potri.002G093300.2,66.57,97,3.67e-166,467
AT1G78060,AT1G78060.1,Potri.002G094000,Potri.002G094000.1,69.353,98,0,1127
AT1G78070,AT1G78070.1,Potri.005G168600,Potri.005G168600.1,72.124,100,0,670
AT1G78080,AT1G78080.1,Potri.005G168700,Potri.005G168700.3,50.129,100,1.53e-98,296
AT1G78090,AT1G78090.1,Potri.002G094500,Potri.002G094500.1,63.852,99,1.8e-166,470
AT1G78100,AT1G78100.1,Potri.002G094600,Potri.002G094600.1,50.733,100,1.54e-103,307
AT1G78110,AT1G78110.1,Potri.005G166400,Potri.005G166400.1,53.276,95,7.02e-102,304
AT1G78120,AT1G78120.1,Potri.002G094800,Potri.002G094800.1,54.208,76,1.11e-147,437
AT1G78130,AT1G78130.1,Potri.007G091800,Potri.007G091800.1,77.039,95,0,712
AT1G78140,AT1G78140.1,Potri.002G095100,Potri.002G095100.1,66.358,91,3.64e-157,445
AT1G78150,AT1G78150.3,Potri.005G165500,Potri.005G165500.1,62.154,100,3.87e-128,367
AT1G78160,AT1G78160.1,Potri.002G095400,Potri.002G095400.1,65.507,53,8.13e-160,478
AT1G78170,AT1G78170.1,Potri.005G165300,Potri.005G165300.1,39.234,86,6.19e-35,124
AT1G78172,AT1G78172.1,Potri.002G096200,Potri.002G096200.2,43.878,96,1.69e-15,66.6
AT1G78180,AT1G78180.1,Potri.005G165200,Potri.005G165200.1,62.528,100,0,528
AT1G78190,AT1G78190.1,Potri.005G165000,Potri.005G165000.1,72.8,100,4.89e-62,186
AT1G78200,AT1G78200.1,Potri.005G164600,Potri.005G164600.3,65.614,99,1.99e-135,384
AT1G78210,AT1G78210.1,Potri.002G097400,Potri.002G097400.1,62.215,97,1.03e-143,408
AT1G78220,AT1G78220.1,Potri.005G164500,Potri.005G164500.3,53.617,96,3.15e-87,259
AT1G78230,AT1G78230.1,Potri.005G164000,Potri.005G164000.1,50.151,82,8.4e-178,523
AT1G78240,AT1G78240.1,Potri.002G098000,Potri.002G098000.2,74.026,99,0,1068
AT1G78260,AT1G78260.1,Potri.002G098100,Potri.002G098100.2,54.639,96,9.24e-68,212
AT1G78270,AT1G78270.1,Potri.002G098400,Potri.002G098400.1,58.316,96,0,585
AT1G78280,AT1G78280.1,Potri.002G099400,Potri.002G099400.2,61.861,99,0,1237
AT1G78290,AT1G78290.2,Potri.002G099700,Potri.002G099700.1,80.255,90,0,525
AT1G78300,AT1G78300.1,Potri.005G162400,Potri.005G162400.1,90.625,98,3.78e-172,475
AT1G78310,AT1G78310.1,Potri.005G162300,Potri.005G162300.1,51.212,99,2.85e-76,236
AT1G78320,AT1G78320.1,Potri.001G437400,Potri.001G437400.1,60.274,99,4.83e-94,275
AT1G78340,AT1G78340.1,Potri.001G436600,Potri.001G436600.1,64.186,98,3.58e-107,308
AT1G78360,AT1G78360.1,Potri.011G140800,Potri.011G140800.1,63.514,99,1.62e-99,288
AT1G78370,AT1G78370.1,Potri.011G140800,Potri.011G140800.1,66.834,91,3.62e-102,295
AT1G78380,AT1G78380.1,Potri.011G140800,Potri.011G140800.1,68.037,99,1.69e-111,318
AT1G78390,AT1G78390.1,Potri.001G393800,Potri.001G393800.1,72.504,83,0,862
AT1G78400,AT1G78400.1,Potri.009G038100,Potri.009G038100.1,46.384,98,5.01e-122,359
AT1G78410,AT1G78410.1,Potri.001G378300,Potri.001G378300.1,41.071,92,1.99e-17,72
AT1G78420,AT1G78420.1,Potri.011G096000,Potri.011G096000.1,53.349,100,1.98e-133,389
AT1G78430,AT1G78430.1,Potri.001G377900,Potri.001G377900.1,53.562,99,7.61e-93,281
AT1G78440,AT1G78440.1,Potri.001G378400,Potri.001G378400.1,61.329,97,9.03e-142,404
AT1G78450,AT1G78450.1,Potri.001G379000,Potri.001G379000.1,51.282,84,3.06e-66,204
AT1G78460,AT1G78460.1,Potri.001G379000,Potri.001G379000.1,46.524,82,9.85e-51,164
AT1G78480,AT1G78480.1,Potri.001G049100,Potri.001G049100.1,41.667,75,1.21e-29,115
AT1G78490,AT1G78490.1,Potri.003G122500,Potri.003G122500.1,42.706,98,8.26e-136,400
AT1G78500,AT1G78500.1,Potri.007G002500,Potri.007G002500.5,58.562,99,0,961
AT1G78510,AT1G78510.1,Potri.001G380500,Potri.001G380500.1,70.755,100,0,597
AT1G78520,AT1G78520.1,Potri.001G380600,Potri.001G380600.2,71.91,77,4.15e-46,145
AT1G78530,AT1G78530.1,Potri.001G380800,Potri.001G380800.4,72.805,98,0,535
AT1G78540,AT1G78540.2,Potri.001G380900,Potri.001G380900.1,50.142,95,0,632
AT1G78550,AT1G78550.1,Potri.001G382400,Potri.001G382400.1,59.664,100,9.06e-158,447
AT1G78560,AT1G78560.1,Potri.011G103200,Potri.011G103200.1,77.778,83,0,534
AT1G78570,AT1G78570.1,Potri.001G383500,Potri.001G383500.1,87.649,100,0,1241
AT1G78580,AT1G78580.1,Potri.011G103900,Potri.011G103900.2,81.693,99,0,1559
AT1G78590,AT1G78590.1,Potri.011G104400,Potri.011G104400.2,65.372,97,9.55e-147,416
AT1G78600,AT1G78600.2,Potri.011G105400,Potri.011G105400.1,53.495,100,1.02e-101,301
AT1G78610,AT1G78610.1,Potri.001G384100,Potri.001G384100.2,59.48,99,0,993
AT1G78620,AT1G78620.2,Potri.001G384300,Potri.001G384300.1,70.13,90,2.14e-152,431
AT1G78630,AT1G78630.1,Potri.001G384600,Potri.001G384600.1,69.6,100,2.96e-128,363
AT1G78640,AT1G78640.1,Potri.003G191901,Potri.003G191901.1,39.759,54,6.49e-23,98.6
AT1G78650,AT1G78650.1,Potri.001G387300,Potri.001G387300.1,46.904,100,1.62e-144,425
AT1G78660,AT1G78660.1,Potri.003G026800,Potri.003G026800.4,69.565,92,2.76e-172,485
AT1G78670,AT1G78670.1,Potri.003G026800,Potri.003G026800.4,63.687,99,1.04e-162,461
AT1G78680,AT1G78680.1,Potri.003G026800,Potri.003G026800.4,69.253,98,0,507
AT1G78690,AT1G78690.1,Potri.011G146800,Potri.011G146800.2,67.636,96,1.22e-135,385
AT1G78700,AT1G78700.1,Potri.011G106800,Potri.011G106800.1,72.372,100,2.6e-138,395
AT1G78710,AT1G78710.1,Potri.011G106200,Potri.011G106200.2,54.131,97,7.11e-136,392
AT1G78720,AT1G78720.1,Potri.001G387600,Potri.001G387600.3,91.405,100,0,897
AT1G78770,AT1G78770.1,Potri.001G389300,Potri.001G389300.1,81.801,99,0,926
AT1G78780,AT1G78780.2,Potri.011G108900,Potri.011G108900.2,73.092,99,5.42e-129,365
AT1G78790,AT1G78790.1,Potri.012G090600,Potri.012G090600.4,70,95,2.64e-46,144
AT1G78800,AT1G78800.1,Potri.011G109000,Potri.011G109000.1,77.667,98,0,663
AT1G78810,AT1G78810.1,Potri.011G109600,Potri.011G109600.8,32.689,98,4.39e-76,248
AT1G78815,AT1G78815.1,Potri.001G390900,Potri.001G390900.1,74.286,89,1.13e-87,256
AT1G78820,AT1G78820.1,Potri.011G110500,Potri.011G110500.1,44.444,98,4.78e-127,375
AT1G78830,AT1G78830.1,Potri.011G110200,Potri.011G110200.1,48.222,98,1.61e-136,400
AT1G78850,AT1G78850.1,Potri.011G110500,Potri.011G110500.1,51.963,98,1.14e-153,442
AT1G78860,AT1G78860.1,Potri.011G110500,Potri.011G110500.1,51.501,97,8.93e-151,435
AT1G78870,AT1G78870.1,Potri.001G392500,Potri.001G392500.5,97.419,100,7.59e-109,306
AT1G78880,AT1G78880.1,Potri.008G006100,Potri.008G006100.2,74.486,100,0,723
AT1G78890,AT1G78890.1,Potri.010G252800,Potri.010G252800.12,52.096,99,2.07e-49,157
AT1G78895,AT1G78895.1,Potri.008G004200,Potri.008G004200.1,74.342,90,2.75e-78,231
AT1G78900,AT1G78900.1,Potri.008G005000,Potri.008G005000.1,93.75,100,0,1212
AT1G78910,AT1G78910.1,Potri.004G228200,Potri.004G228200.1,70.625,100,0,655
AT1G78915,AT1G78915.3,Potri.008G003800,Potri.008G003800.2,60.964,96,1.72e-175,496
AT1G78920,AT1G78920.1,Potri.010G254200,Potri.010G254200.6,88.792,100,0,1433
AT1G78922,AT1G78922.1,Potri.007G001400,Potri.007G001400.1,42.991,91,4.44e-50,163
AT1G78930,AT1G78930.1,Potri.007G001800,Potri.007G001800.1,61.612,88,0,634
AT1G78940,AT1G78940.2,Potri.007G001900,Potri.007G001900.1,59.58,98,0,857
AT1G78950,AT1G78950.1,Potri.014G002400,Potri.014G002400.1,76.153,99,0,1248
AT1G78955,AT1G78955.1,Potri.014G002400,Potri.014G002400.1,74.572,99,0,1231
AT1G78960,AT1G78960.1,Potri.014G002400,Potri.014G002400.1,71.751,99,0,1173
AT1G78970,AT1G78970.2,Potri.007G002500,Potri.007G002500.5,70.449,99,0,1142
AT1G78980,AT1G78980.1,Potri.007G002600,Potri.007G002600.1,62.849,97,0,831
AT1G78990,AT1G78990.1,Potri.007G003800,Potri.007G003800.1,59.711,99,0,545
AT1G78995,AT1G78995.1,Potri.007G003600,Potri.007G003600.1,69,56,2.06e-40,134
AT1G79000,AT1G79000.2,Potri.014G000500,Potri.014G000500.1,64.85,97,0,2177
AT1G79010,AT1G79010.1,Potri.004G154900,Potri.004G154900.4,85.202,100,3.18e-142,397
AT1G79020,AT1G79020.1,Potri.014G000600,Potri.014G000600.1,65.696,100,0,613
AT1G79030,AT1G79030.1,Potri.001G438300,Potri.001G438300.3,75.445,100,0,824
AT1G79040,AT1G79040.1,Potri.001G438700,Potri.001G438700.2,75.887,100,4.47e-69,205
AT1G79050,AT1G79050.1,Potri.001G438900,Potri.001G438900.1,80.798,91,0,638
AT1G79060,AT1G79060.1,Potri.005G098300,Potri.005G098300.1,47.511,91,5.56e-90,280
AT1G79070,AT1G79070.1,Potri.008G043200,Potri.008G043200.1,53.279,88,2.12e-41,134
AT1G79080,AT1G79080.1,Potri.011G144300,Potri.011G144300.4,64.298,99,0,765
AT1G79090,AT1G79090.1,Potri.011G143900,Potri.011G143900.1,58.437,98,0,864
AT1G79100,AT1G79100.1,Potri.011G143100,Potri.011G143100.1,62.791,61,2.51e-12,60.5
AT1G79110,AT1G79110.1,Potri.001G439600,Potri.001G439600.1,51.213,99,3.39e-99,297
AT1G79120,AT1G79120.1,Potri.001G439100,Potri.001G439100.1,67.233,98,0,551
AT1G79130,AT1G79130.1,Potri.007G067800,Potri.007G067800.1,54.198,93,8.32e-40,130
AT1G79150,AT1G79150.1,Potri.005G096900,Potri.005G096900.4,60.806,96,0,934
AT1G79160,AT1G79160.1,Potri.005G096800,Potri.005G096800.1,55.769,98,2.6e-70,216
AT1G79180,AT1G79180.1,Potri.019G118900,Potri.019G118900.1,51.955,61,8.41e-62,196
AT1G79190,AT1G79190.1,Potri.007G067700,Potri.007G067700.2,57.918,98,0,1504
AT1G79200,AT1G79200.1,Potri.007G068500,Potri.007G068500.1,67.47,52,2.02e-35,121
AT1G79210,AT1G79210.1,Potri.012G123550,Potri.012G123550.1,93.644,100,2.95e-164,453
AT1G79220,AT1G79220.1,Potri.007G069100,Potri.007G069100.2,52.577,95,4.34e-137,397
AT1G79230,AT1G79230.1,Potri.007G069300,Potri.007G069300.1,72.487,98,0,576
AT1G79250,AT1G79250.1,Potri.008G080600,Potri.008G080600.3,67.669,92,0,700
AT1G79260,AT1G79260.1,Potri.010G175600,Potri.010G175600.1,72.667,89,2.56e-77,228
AT1G79270,AT1G79270.1,Potri.010G175500,Potri.010G175500.10,45.059,97,2.8e-143,426
AT1G79280,AT1G79280.2,Potri.008G080900,Potri.008G080900.3,55.291,97,0,1991
AT1G79310,AT1G79310.1,Potri.010G175000,Potri.010G175000.1,55.738,100,6.76e-158,452
AT1G79320,AT1G79320.1,Potri.010G175000,Potri.010G175000.1,57.746,100,5.98e-164,466
AT1G79330,AT1G79330.1,Potri.008G081100,Potri.008G081100.1,65.558,100,0,539
AT1G79340,AT1G79340.1,Potri.010G175000,Potri.010G175000.1,66.197,100,0,550
AT1G79350,AT1G79350.1,Potri.010G174900,Potri.010G174900.7,77.548,100,0,2067
AT1G79360,AT1G79360.1,Potri.010G174400,Potri.010G174400.1,60.531,99,0,640
AT1G79370,AT1G79370.1,Potri.013G157200,Potri.013G157200.1,43.704,98,8.99e-156,456
AT1G79380,AT1G79380.1,Potri.010G174800,Potri.010G174800.9,68.074,94,0,561
AT1G79390,AT1G79390.1,Potri.008G081400,Potri.008G081400.1,75.833,94,7.9e-68,201
AT1G79400,AT1G79400.1,Potri.003G194200,Potri.003G194200.2,45.914,98,0,684
AT1G79410,AT1G79410.1,Potri.010G174400,Potri.010G174400.1,43.676,97,7.27e-146,429
AT1G79420,AT1G79420.1,Potri.010G174200,Potri.010G174200.1,71.106,95,0,574
AT1G79430,AT1G79430.2,Potri.008G081800,Potri.008G081800.2,60.471,100,1.05e-128,373
AT1G79440,AT1G79440.1,Potri.010G174000,Potri.010G174000.4,80.723,94,0,823
AT1G79450,AT1G79450.1,Potri.008G082100,Potri.008G082100.1,65.517,99,6.57e-172,482
AT1G79460,AT1G79460.1,Potri.008G082700,Potri.008G082700.1,57.234,99,0,882
AT1G79470,AT1G79470.1,Potri.008G082800,Potri.008G082800.1,72.781,99,0,708
AT1G79480,AT1G79480.1,Potri.008G082900,Potri.008G082900.2,45.7,99,1.82e-74,236
AT1G79490,AT1G79490.1,Potri.010G173400,Potri.010G173400.2,76.219,99,0,1350
AT1G79500,AT1G79500.5,Potri.005G199100,Potri.005G199100.2,92.437,71,5.82e-160,449
AT1G79510,AT1G79510.1,Potri.010G173000,Potri.010G173000.1,80.882,74,2.85e-126,360
AT1G79520,AT1G79520.2,Potri.010G172800,Potri.010G172800.4,70.531,98,0,573
AT1G79530,AT1G79530.1,Potri.008G083900,Potri.008G083900.1,80.094,100,0,683
AT1G79540,AT1G79540.1,Potri.006G049400,Potri.006G049400.2,50.946,99,0,801
