Ligand_Ath,Receptor_Ath,Ligand_Ptr,Receptor_Ptr
AT3G12490,AT2G40410,Potri.003G192200,Potri.008G074800
AT3G12490,AT3G56170,Potri.003G192200,Potri.008G074800
AT3G13662,AT1G19780,Potri.006G195300,Potri.001G043900
AT3G13750,AT1G11260,Potri.003G038500,Potri.004G033600
AT3G13784,AT5G58090,Potri.006G227400,Potri.006G080600
AT3G13784,AT4G31140,Potri.006G227400,Potri.006G280700
AT3G13784,AT1G66250,Potri.006G227400,Potri.004G086400
AT3G13784,AT1G11820,Potri.006G227400,Potri.011G006100
AT3G13784,AT2G01630,Potri.006G227400,Potri.010G108500
AT3G13784,AT3G13560,Potri.006G227400,Potri.003G218500
AT3G13790,AT5G58090,Potri.006G227400,Potri.006G080600
AT3G13790,AT4G31140,Potri.006G227400,Potri.006G280700
AT3G13790,AT1G66250,Potri.006G227400,Potri.004G086400
AT3G13790,AT1G11820,Potri.006G227400,Potri.011G006100
AT3G13790,AT2G01630,Potri.006G227400,Potri.010G108500
AT3G13790,AT3G13560,Potri.006G227400,Potri.003G218500
AT3G14310,AT3G54920,Potri.003G072800,Potri.010G229000
AT3G15720,AT3G54920,Potri.018G028700,Potri.010G229000
AT3G16370,AT2G01950,Potri.001G191400,Potri.008G140500
AT3G16370,AT1G55260,Potri.001G191400,Potri.001G008500
AT3G16370,AT3G43720,Potri.001G191400,Potri.009G158100
AT3G16570,AT1G31420,Potri.008G208200,Potri.001G129000
AT3G16570,AT3G46290,Potri.008G208200,Potri.001G234200
AT3G16570,AT3G51550,Potri.008G208200,Potri.016G138700
AT3G16570,AT1G30570,Potri.008G208200,Potri.001G467000
AT3G16920,AT5G60490,Potri.010G141600,Potri.016G088700
AT3G16920,AT5G05170,Potri.010G141600,Potri.001G266400
AT3G16920,AT5G03170,Potri.010G141600,Potri.016G088700
AT3G16920,AT4G32410,Potri.010G141600,Potri.006G251900
AT3G16920,AT5G15630,Potri.010G141600,Potri.015G060100
AT3G16920,AT1G20850,Potri.010G141600,Potri.005G256000
AT3G16920,AT5G17420,Potri.010G141600,Potri.006G181900
AT3G16920,AT4G35350,Potri.010G141600,Potri.004G207600
AT3G16920,AT4G18780,Potri.010G141600,Potri.004G059600
AT3G16920,AT1G08340,Potri.010G141600,Potri.016G078200
AT3G16920,AT5G44030,Potri.010G141600,Potri.002G257900
AT3G17790,AT1G64060,Potri.015G031400,Potri.003G133300
AT3G18080,AT5G58090,Potri.015G041300,Potri.006G080600
AT3G18080,AT4G31140,Potri.015G041300,Potri.006G280700
AT3G18080,AT1G66250,Potri.015G041300,Potri.004G086400
AT3G18080,AT1G11820,Potri.015G041300,Potri.011G006100
AT3G18080,AT2G01630,Potri.015G041300,Potri.010G108500
AT3G18080,AT3G13560,Potri.015G041300,Potri.003G218500
AT3G19620,AT5G09870,Potri.001G294700,Potri.007G076500
AT3G21770,AT2G36100,Potri.007G122100,Potri.016G075400
AT3G21920,AT4G39170,Potri.007G120500,Potri.009G119500
AT3G21920,AT4G23740,Potri.007G120500,Potri.001G095200
AT3G21960,AT1G80830,Potri.017G039966,Potri.001G044900
AT3G21960,AT1G47670,Potri.017G039966,Potri.014G036500
AT3G21990,AT3G46330,Potri.007G120501,Potri.019G094700
AT3G22800,AT2G04780,Potri.010G083000,Potri.014G162900
AT3G22820,AT1G80080,Potri.008G157300,Potri.001G202100
AT3G22820,AT5G62230,Potri.008G157300,Potri.012G130400
AT3G22820,AT5G07180,Potri.008G157300,Potri.012G130400
AT3G23805,AT5G24105,Potri.017G059500,Potri.015G022600
AT3G23805,AT1G07490,Potri.017G059500,Potri.001G242800
AT3G23805,AT1G67265,Potri.017G059500,Potri.004G102950
AT3G23805,AT3G25717,Potri.017G059500,Potri.008G116700
AT3G23805,AT4G13395,Potri.017G059500,Potri.018G072101
AT3G23805,AT2G46330,Potri.017G059500,Potri.014G094800
AT3G23805,AT1G55330,Potri.017G059500,Potri.003G220932
AT3G23805,AT3G13520,Potri.017G059500,Potri.003G220932
AT3G23805,AT3G61640,Potri.017G059500,Potri.014G094800
AT3G24770,AT5G05160,Potri.002G241300,Potri.019G062100
AT3G24770,AT4G28650,Potri.002G241300,Potri.002G256500
AT3G24770,AT1G75820,Potri.002G241300,Potri.005G241500
AT3G24770,AT1G08590,Potri.002G241300,Potri.019G021700
AT3G24770,AT1G65380,Potri.002G241300,Potri.013G087200
AT3G24770,AT5G61480,Potri.002G241300,Potri.003G107600
AT3G27950,AT5G62680,Potri.001G342600,Potri.012G071500
AT3G27950,AT1G18880,Potri.001G342600,Potri.012G071500
AT3G27950,AT3G47960,Potri.001G342600,Potri.012G071500
AT3G27980,AT1G21240,Potri.011G025400,Potri.002G075951
AT3G27980,AT1G08430,Potri.011G025400,Potri.009G017800
AT3G27980,AT3G20190,Potri.011G025400,Potri.007G002000
AT3G28200,AT5G04930,Potri.001G351000,Potri.008G014600
AT3G28455,AT1G65380,Potri.017G074600,Potri.013G087200
AT3G29780,AT1G23140,Potri.017G096500,Potri.010G110900
AT3G29780,AT1G07560,Potri.017G096500,Potri.019G094700
AT3G29780,AT4G23320,Potri.017G096500,Potri.011G028400
AT3G43270,AT3G54920,Potri.006G134500,Potri.010G229000
AT3G43270,AT3G57770,Potri.006G134500,Potri.002G004900
AT3G43270,AT4G16640,Potri.006G134500,Potri.001G157500
AT3G43550,AT3G16490,Potri.002G018800,Potri.001G190500
AT3G44735,AT5G53890,Potri.004G188200,Potri.011G116900
AT3G44735,AT5G24105,Potri.004G188200,Potri.015G022600
AT3G44735,AT2G02220,Potri.004G188200,Potri.008G144700
AT3G44735,AT1G07490,Potri.004G188200,Potri.001G242800
AT3G44735,AT3G25717,Potri.004G188200,Potri.008G116700
AT3G44735,AT4G13395,Potri.004G188200,Potri.018G072101
AT3G45010,AT4G18780,Potri.004G215400,Potri.004G059600
AT3G45010,AT5G44030,Potri.004G215400,Potri.002G257900
AT3G45940,AT4G19640,Potri.008G120000,Potri.012G117800
AT3G45940,AT1G54280,Potri.008G120000,Potri.001G197500
AT3G45940,AT5G58090,Potri.008G120000,Potri.006G080600
AT3G45940,AT4G04340,Potri.008G120000,Potri.011G009900
AT3G45940,AT4G31140,Potri.008G120000,Potri.006G280700
AT3G45940,AT3G13900,Potri.008G120000,Potri.001G197500
AT3G45940,AT1G66250,Potri.008G120000,Potri.004G086400
AT3G45940,AT3G25610,Potri.008G120000,Potri.012G058000
AT3G45940,AT1G11820,Potri.008G120000,Potri.011G006100
AT3G45940,AT1G32090,Potri.008G120000,Potri.001G133800
AT3G45940,AT2G01630,Potri.008G120000,Potri.010G108500
AT3G45940,AT1G64060,Potri.008G120000,Potri.003G133300
AT3G45940,AT3G13560,Potri.008G120000,Potri.003G218500
AT3G45960,AT3G61640,Potri.009G141400,Potri.014G094800
AT3G46120,AT5G43350,Potri.004G160100,Potri.005G223600
AT3G47380,AT1G18280,Potri.015G128700,Potri.015G036201
AT3G47400,AT3G54920,Potri.015G127800,Potri.010G229000
AT3G48460,AT5G64080,Potri.015G089700,Potri.003G020200
AT3G48610,AT5G64070,Potri.012G099300,Potri.005G059000
AT3G48610,AT3G47220,Potri.012G099300,Potri.001G252100
AT3G48610,AT3G03530,Potri.012G099300,Potri.013G073600
AT3G48610,AT3G15730,Potri.012G099300,Potri.003G032800
AT3G48610,AT5G09350,Potri.012G099300,Potri.005G059000
AT3G48610,AT1G55180,Potri.012G099300,Potri.003G037700
AT3G48610,AT5G58670,Potri.012G099300,Potri.001G252300
AT3G48610,AT4G35790,Potri.012G099300,Potri.005G105600
AT3G49780,AT5G24105,Potri.007G006800,Potri.015G022600
AT3G49780,AT1G07490,Potri.007G006800,Potri.001G242800
AT3G49780,AT3G25717,Potri.007G006800,Potri.008G116700
AT3G49780,AT4G13395,Potri.007G006800,Potri.018G072101
AT3G49780,AT3G61640,Potri.007G006800,Potri.014G094800
AT3G49780,AT5G59810,Potri.007G006800,Potri.006G001600
AT3G49960,AT4G34580,Potri.007G053400,Potri.004G157600
AT3G49960,AT2G20520,Potri.007G053400,Potri.013G120600
AT3G49960,AT4G29180,Potri.007G053400,Potri.019G094700
AT3G50220,AT5G15630,Potri.005G141300,Potri.015G060100
AT3G50220,AT5G44030,Potri.005G141300,Potri.002G257900
AT3G50220,AT5G17420,Potri.005G141300,Potri.006G181900
AT3G50220,AT4G18780,Potri.005G141300,Potri.004G059600
AT3G52370,AT2G24450,Potri.006G200300,Potri.018G005100
AT3G52370,AT2G47900,Potri.006G200300,Potri.008G195200
AT3G52370,AT5G03170,Potri.006G200300,Potri.016G088700
AT3G52370,AT2G04780,Potri.006G200300,Potri.014G162900
AT3G52370,AT4G12730,Potri.006G200300,Potri.014G168100
AT3G52370,AT4G31370,Potri.006G200300,Potri.018G005100
AT3G52370,AT3G60900,Potri.006G200300,Potri.014G071700
AT3G52820,AT5G58050,Potri.003G030700,Potri.006G187600
AT3G52840,AT1G65590,Potri.006G144500,Potri.008G079400
AT3G52840,AT1G05590,Potri.006G144500,Potri.001G232600
AT3G53230,AT3G09840,Potri.016G091600,Potri.015G080600
AT3G53230,AT4G16640,Potri.016G091600,Potri.001G157500
AT3G53230,AT1G24140,Potri.016G091600,Potri.012G104600
AT3G53230,AT3G28860,Potri.016G091600,Potri.017G081100
AT3G53230,AT2G45040,Potri.016G091600,Potri.014G058200
AT3G53230,AT1G65590,Potri.016G091600,Potri.008G079400
AT3G53230,AT1G70170,Potri.016G091600,Potri.012G104600
AT3G53230,AT1G59970,Potri.016G091600,Potri.015G103900
AT3G53230,AT1G55350,Potri.016G091600,Potri.003G221100
AT3G55500,AT1G74190,Potri.010G202500,Potri.003G013200
AT3G56310,AT3G09840,Potri.019G056700,Potri.015G080600
AT3G56310,AT1G65590,Potri.019G056700,Potri.008G079400
AT3G56310,AT1G05590,Potri.019G056700,Potri.001G232600
AT3G56310,AT1G59970,Potri.019G056700,Potri.015G103900
AT3G57240,AT1G14880,Potri.016G057400,Potri.010G108800
AT3G57260,AT1G21250,Potri.006G048100,Potri.002G075951
AT3G57260,AT5G08000,Potri.006G048100,Potri.015G057800
AT3G57260,AT4G23150,Potri.006G048100,Potri.011G028400
AT3G57260,AT4G23140,Potri.006G048100,Potri.011G028400
AT3G57260,AT2G32680,Potri.006G048100,Potri.001G400500
AT3G57510,AT3G54920,Potri.006G052700,Potri.010G229000
AT3G59010,AT3G61260,Potri.014G149700,Potri.014G081300
AT3G60730,AT2G40540,Potri.010G109400,Potri.019G056500
AT3G62020,AT1G20850,Potri.002G184900,Potri.005G256000
AT3G62020,AT4G35350,Potri.002G184900,Potri.004G207600
AT3G62680,AT1G70460,Potri.014G126300,Potri.008G189700
AT3G62680,AT5G49270,Potri.014G126300,Potri.010G001100
AT3G62680,AT4G34580,Potri.014G126300,Potri.004G157600
AT3G62680,AT2G20520,Potri.014G126300,Potri.013G120600
AT3G62680,AT4G29180,Potri.014G126300,Potri.019G094700
AT3G66658,AT3G01390,Potri.008G106000,Potri.010G222000
AT4G00190,AT2G27810,Potri.014G067100,Potri.009G148600
AT4G02270,AT4G19680,Potri.002G201900,Potri.015G117900
AT4G02270,AT5G49270,Potri.002G201900,Potri.010G001100
AT4G02270,AT2G20520,Potri.002G201900,Potri.013G120600
AT4G02270,AT4G29180,Potri.002G201900,Potri.019G094700
AT4G02320,AT3G54920,Potri.002G202500,Potri.010G229000
AT4G02330,AT3G54920,Potri.002G202600,Potri.010G229000
AT4G02350,AT3G53610,Potri.014G127400,Potri.010G208900
AT4G02350,AT3G09900,Potri.014G127400,Potri.008G051700
AT4G02350,AT5G03520,Potri.014G127400,Potri.008G051700
AT4G02350,AT1G08860,Potri.014G127400,Potri.013G029100
AT4G02350,AT3G46060,Potri.014G127400,Potri.010G208900
AT4G02350,AT3G11820,Potri.014G127400,Potri.006G202200
AT4G03210,AT5G09870,Potri.019G125000,Potri.007G076500
AT4G03210,AT5G36870,Potri.019G125000,Potri.001G230000
AT4G03210,AT5G13000,Potri.019G125000,Potri.001G012200
AT4G03930,AT3G54920,Potri.011G025400,Potri.010G229000
AT4G03930,AT5G46630,Potri.011G025400,Potri.003G090800
AT4G04460,AT3G09840,Potri.004G007600,Potri.015G080600
AT4G04460,AT5G47510,Potri.004G007600,Potri.001G158700
AT4G04460,AT1G24140,Potri.004G007600,Potri.012G104600
AT4G04460,AT4G16640,Potri.004G007600,Potri.001G157500
AT4G04460,AT5G10080,Potri.004G007600,Potri.005G079900
AT4G04460,AT2G45040,Potri.004G007600,Potri.014G058200
AT4G04460,AT1G70170,Potri.004G007600,Potri.012G104600
AT4G04460,AT1G59970,Potri.004G007600,Potri.015G103900
AT4G04460,AT1G55350,Potri.004G007600,Potri.003G221100
AT4G08950,AT5G66210,Potri.002G098600,Potri.005G113600
AT4G10510,AT2G20520,Potri.001G450401,Potri.013G120600
AT4G12420,AT5G60920,Potri.003G112700,Potri.015G060000
AT4G12420,AT5G15350,Potri.003G112700,Potri.017G088600
AT4G12420,AT2G04780,Potri.003G112700,Potri.014G162900
AT4G12420,AT5G55480,Potri.003G112700,Potri.001G360800
AT4G12420,AT5G07280,Potri.003G112700,Potri.015G141200
AT4G12420,AT3G23750,Potri.003G112700,Potri.006G073900
AT4G12960,AT4G38430,Potri.012G107300,Potri.009G140100
AT4G12960,AT4G12780,Potri.012G107300,Potri.002G079200
AT4G12970,AT5G07180,Potri.002G249901,Potri.012G130400
AT4G12970,AT5G60880,Potri.002G249901,Potri.015G048600
AT4G12970,AT1G62400,Potri.002G249901,Potri.004G001900
AT4G12970,AT1G80080,Potri.002G249901,Potri.001G202100
AT4G12970,AT5G62230,Potri.002G249901,Potri.012G130400
AT4G13090,AT1G11820,Potri.002G244200,Potri.011G006100
AT4G13340,AT4G12730,Potri.018G075900,Potri.014G168100
AT4G13580,AT3G11550,Potri.003G174300,Potri.006G208800
AT4G13580,AT2G36100,Potri.003G174300,Potri.016G075400
AT4G13700,AT4G23320,Potri.003G176000,Potri.011G028400
AT4G13700,AT1G23140,Potri.003G176000,Potri.010G110900
AT4G14010,AT5G24105,Potri.017G059800,Potri.015G022600
AT4G14010,AT1G07490,Potri.017G059800,Potri.001G242800
AT4G14010,AT1G67265,Potri.017G059800,Potri.004G102950
AT4G14010,AT3G25717,Potri.017G059800,Potri.008G116700
AT4G14010,AT4G13395,Potri.017G059800,Potri.018G072101
AT4G14010,AT2G46330,Potri.017G059800,Potri.014G094800
AT4G14010,AT1G55330,Potri.017G059800,Potri.003G220932
AT4G14010,AT3G13520,Potri.017G059800,Potri.003G220932
AT4G14010,AT3G61640,Potri.017G059800,Potri.014G094800
AT4G14723,AT1G80080,Potri.008G157300,Potri.001G202100
AT4G14723,AT5G62230,Potri.008G157300,Potri.012G130400
AT4G14723,AT5G07180,Potri.008G157300,Potri.012G130400
AT4G14723,AT5G61480,Potri.008G157300,Potri.003G107600
AT4G14940,AT1G24140,Potri.010G088900,Potri.012G104600
AT4G14940,AT2G45040,Potri.010G088900,Potri.014G058200
AT4G14940,AT1G59970,Potri.010G088900,Potri.015G103900
AT4G14940,AT1G70170,Potri.010G088900,Potri.012G104600
AT4G14940,AT4G16640,Potri.010G088900,Potri.001G157500
AT4G15800,AT5G24105,Potri.008G208200,Potri.015G022600
AT4G15800,AT1G07490,Potri.008G208200,Potri.001G242800
AT4G15800,AT1G67265,Potri.008G208200,Potri.004G102950
AT4G15800,AT3G25717,Potri.008G208200,Potri.008G116700
AT4G15800,AT4G13395,Potri.008G208200,Potri.018G072101
AT4G15800,AT2G46330,Potri.008G208200,Potri.014G094800
AT4G15800,AT1G55330,Potri.008G208200,Potri.003G220932
AT4G15800,AT3G13520,Potri.008G208200,Potri.003G220932
AT4G15800,AT3G61640,Potri.008G208200,Potri.014G094800
AT4G16195,AT5G10530,Potri.018G148630,Potri.003G094700
AT4G16260,AT3G48890,Potri.010G142800,Potri.012G137800
AT4G16295,AT3G25610,Potri.002G252500,Potri.012G058000
AT4G18670,AT1G55330,Potri.006G158814,Potri.003G220932
AT4G18970,AT1G18280,Potri.011G076500,Potri.015G036201
AT4G19410,AT1G18280,Potri.004G233900,Potri.015G036201
AT4G19420,AT1G18280,Potri.004G234100,Potri.015G036201
AT4G20050,AT3G09090,Potri.001G159900,Potri.006G096100
AT4G20050,AT2G13680,Potri.001G159900,Potri.005G058300
AT4G20830,AT4G23190,Potri.001G462600,Potri.004G025200
AT4G20830,AT3G11820,Potri.001G462600,Potri.006G202200
AT4G20830,AT5G48380,Potri.001G462600,Potri.002G240000
AT4G20860,AT5G64440,Potri.011G161800,Potri.001G285900
AT4G21323,AT4G21390,Potri.001G450401,Potri.011G037300
AT4G21323,AT4G21230,Potri.001G450401,Potri.011G029700
AT4G21630,AT1G49270,Potri.001G450401,Potri.005G124400
AT4G21630,AT3G18810,Potri.001G450401,Potri.005G124400
AT4G21630,AT1G10620,Potri.001G450401,Potri.008G189700
AT4G23170,AT4G00960,Potri.011G028400,Potri.004G026350
AT4G23170,AT1G70520,Potri.011G028400,Potri.010G043800
AT4G23170,AT4G11890,Potri.011G028400,Potri.011G030012
AT4G24230,AT1G31812,Potri.002G120200,Potri.001G130200
AT4G25000,AT4G24040,Potri.002G126300,Potri.003G144000
AT4G25820,AT4G19680,Potri.013G005700,Potri.015G117900
AT4G25820,AT1G70460,Potri.013G005700,Potri.008G189700
AT4G25820,AT5G49270,Potri.013G005700,Potri.010G001100
AT4G25820,AT5G16900,Potri.013G005700,Potri.019G094600
AT4G25820,AT4G29180,Potri.013G005700,Potri.019G094700
AT4G25820,AT2G41970,Potri.013G005700,Potri.016G059600
AT4G25820,AT4G34580,Potri.013G005700,Potri.004G157600
AT4G25820,AT2G20520,Potri.013G005700,Potri.013G120600
AT4G25980,AT4G16360,Potri.018G131600,Potri.016G006400
AT4G26010,AT5G49270,Potri.013G066800,Potri.010G001100
AT4G26010,AT4G26080,Potri.013G066800,Potri.006G224600
AT4G26010,AT1G64060,Potri.013G066800,Potri.003G133300
AT4G26140,AT1G54280,Potri.006G144500,Potri.001G197500
AT4G26790,AT1G32050,Potri.014G160200,Potri.001G134100
AT4G26790,AT1G03550,Potri.014G160200,Potri.013G144700
AT4G28780,AT4G35580,Potri.002G253400,Potri.011G149300
AT4G28850,AT4G34580,Potri.018G084300,Potri.004G157600
AT4G28850,AT2G20520,Potri.018G084300,Potri.013G120600
AT4G29460,AT3G54950,Potri.006G149700,Potri.010G221700
AT4G30610,AT5G10770,Potri.006G183200,Potri.018G015100
AT4G30610,AT4G39400,Potri.006G183200,Potri.005G086500
AT4G33220,AT3G54920,Potri.006G134500,Potri.010G229000
AT4G33420,AT4G27270,Potri.004G134800,Potri.001G410700
AT4G37720,AT2G02220,Potri.014G006900,Potri.008G144700
AT4G37810,AT5G62230,Potri.002G112900,Potri.012G130400
AT4G37810,AT5G07180,Potri.002G112900,Potri.012G130400
AT4G38700,AT4G38580,Potri.009G130900,Potri.004G175400
AT4G38700,AT2G21120,Potri.009G130900,Potri.004G168900
AT4G39010,AT3G16490,Potri.004G162200,Potri.001G190500
AT4G39640,AT5G22300,Potri.005G082800,Potri.004G199600
AT4G39640,AT3G63080,Potri.005G082800,Potri.014G138800
AT4G39650,AT5G22300,Potri.005G082800,Potri.004G199600
AT4G39650,AT3G63080,Potri.005G082800,Potri.014G138800
AT5G01190,AT5G15630,Potri.016G112000,Potri.015G060100
AT5G03260,AT4G35350,Potri.004G156400,Potri.004G207600
AT5G03340,AT3G09840,Potri.016G091600,Potri.015G080600
AT5G03340,AT4G16640,Potri.016G091600,Potri.001G157500
AT5G03340,AT1G24140,Potri.016G091600,Potri.012G104600
AT5G03340,AT3G28860,Potri.016G091600,Potri.017G081100
AT5G03340,AT2G45040,Potri.016G091600,Potri.014G058200
AT5G03340,AT1G65590,Potri.016G091600,Potri.008G079400
AT5G03340,AT1G70170,Potri.016G091600,Potri.012G104600
AT5G03340,AT1G59970,Potri.016G091600,Potri.015G103900
AT5G03340,AT1G55350,Potri.016G091600,Potri.003G221100
AT5G03610,AT5G64080,Potri.001G406500,Potri.003G020200
AT5G03810,AT4G28490,Potri.006G118300,Potri.004G049100
AT5G04200,AT1G20850,Potri.006G026450,Potri.005G256000
AT5G04200,AT4G35350,Potri.006G026450,Potri.004G207600
AT5G04970,AT3G54920,Potri.010G247700,Potri.010G229000
AT5G05110,AT4G28280,Potri.016G030900,Potri.019G095200
AT5G05390,AT2G48130,Potri.008G073700,Potri.010G085400
AT5G05390,AT1G03103,Potri.008G073700,Potri.010G085400
AT5G05390,AT3G22600,Potri.008G073700,Potri.010G085400
AT5G05390,AT4G14815,Potri.008G073700,Potri.008G155100
AT5G06390,AT2G47900,Potri.006G200300,Potri.008G195200
AT5G06730,AT4G27270,Potri.016G058200,Potri.001G410700
AT5G06920,AT5G60490,Potri.013G152200,Potri.016G088700
AT5G06920,AT4G31370,Potri.013G152200,Potri.018G005100
AT5G06920,AT1G03870,Potri.013G152200,Potri.013G120600
AT5G06920,AT3G46550,Potri.013G152200,Potri.006G174900
AT5G06920,AT2G24450,Potri.013G152200,Potri.018G005100
AT5G06920,AT4G12730,Potri.013G152200,Potri.014G168100
AT5G06920,AT3G12660,Potri.013G152200,Potri.001G037800
AT5G06920,AT5G03170,Potri.013G152200,Potri.016G088700
AT5G07190,AT1G32090,Potri.015G132900,Potri.001G133800
AT5G07230,AT3G13220,Potri.015G139100,Potri.001G370600
AT5G07230,AT3G23870,Potri.015G139100,Potri.001G318700
AT5G07230,AT5G40260,Potri.015G139100,Potri.001G344300
AT5G07410,AT3G07160,Potri.012G114900,Potri.001G011900
AT5G07830,AT1G24140,Potri.015G049100,Potri.012G104600
AT5G07830,AT2G45040,Potri.015G049100,Potri.014G058200
AT5G07830,AT1G59970,Potri.015G049100,Potri.015G103900
AT5G07830,AT1G70170,Potri.015G049100,Potri.012G104600
AT5G07830,AT4G16640,Potri.015G049100,Potri.001G157500
AT5G08370,AT3G09840,Potri.018G152200,Potri.015G080600
AT5G08370,AT1G65590,Potri.018G152200,Potri.008G079400
AT5G08370,AT1G05590,Potri.018G152200,Potri.001G232600
AT5G08380,AT3G09840,Potri.010G255200,Potri.015G080600
AT5G08380,AT1G65590,Potri.010G255200,Potri.008G079400
AT5G08380,AT1G05590,Potri.010G255200,Potri.001G232600
AT5G08380,AT4G25830,Potri.010G255200,Potri.018G094500
AT5G09520,AT2G48130,Potri.007G114525,Potri.010G085400
AT5G09520,AT1G03103,Potri.007G114525,Potri.010G085400
AT5G09520,AT3G22600,Potri.007G114525,Potri.010G085400
AT5G09520,AT4G14815,Potri.007G114525,Potri.008G155100
AT5G09520,AT5G13900,Potri.007G114525,Potri.013G131500
AT5G09520,AT2G48140,Potri.007G114525,Potri.005G212000
AT5G09530,AT2G48130,Potri.007G114525,Potri.010G085400
AT5G09530,AT1G03103,Potri.007G114525,Potri.010G085400
AT5G09530,AT3G22600,Potri.007G114525,Potri.010G085400
AT5G09530,AT4G14815,Potri.007G114525,Potri.008G155100
AT5G09530,AT2G04780,Potri.007G114525,Potri.014G162900
AT5G09530,AT3G22620,Potri.007G114525,Potri.010G085200
AT5G09640,AT1G44120,Potri.013G124900,Potri.005G180100
AT5G09640,AT1G77460,Potri.013G124900,Potri.005G180100
AT5G10130,AT5G10150,Potri.005G078200,Potri.005G078300
AT5G10560,AT5G09870,Potri.001G089100,Potri.007G076500
AT5G10760,AT5G10380,Potri.006G232600,Potri.007G097500
AT5G10760,AT1G21250,Potri.006G232600,Potri.002G075951
AT5G10760,AT5G54610,Potri.006G232600,Potri.015G111300
AT5G10760,AT1G35710,Potri.006G232600,Potri.019G129100
AT5G10760,AT4G04490,Potri.006G232600,Potri.011G029800
AT5G10760,AT4G11890,Potri.006G232600,Potri.011G030012
AT5G10760,AT4G23140,Potri.006G232600,Potri.011G028400
AT5G10760,AT2G32680,Potri.006G232600,Potri.001G400500
AT5G11920,AT5G58090,Potri.006G227500,Potri.006G080600
AT5G11920,AT4G31140,Potri.006G227500,Potri.006G280700
AT5G11920,AT1G66250,Potri.006G227500,Potri.004G086400
AT5G11920,AT1G11820,Potri.006G227500,Potri.011G006100
AT5G11920,AT2G01630,Potri.006G227500,Potri.010G108500
AT5G11920,AT3G13560,Potri.006G227500,Potri.003G218500
AT5G12370,AT2G31680,Potri.014G090100,Potri.002G231800
AT5G12370,AT3G53610,Potri.014G090100,Potri.010G208900
AT5G12370,AT4G35020,Potri.014G090100,Potri.004G174900
AT5G12370,AT4G19640,Potri.014G090100,Potri.012G117800
AT5G12370,AT3G11820,Potri.014G090100,Potri.006G202200
AT5G12370,AT2G38120,Potri.014G090100,Potri.010G191000
AT5G12370,AT3G09900,Potri.014G090100,Potri.008G051700
AT5G12370,AT3G54840,Potri.014G090100,Potri.010G226300
AT5G12370,AT5G03520,Potri.014G090100,Potri.008G051700
AT5G12370,AT1G16920,Potri.014G090100,Potri.011G070300
AT5G12370,AT1G17140,Potri.014G090100,Potri.001G377900
AT5G12370,AT3G46060,Potri.014G090100,Potri.010G208900
AT5G14450,AT5G64080,Potri.001G342600,Potri.003G020200
AT5G15180,AT1G63430,Potri.007G122351,Potri.003G124800
AT5G15180,AT2G42960,Potri.007G122351,Potri.005G203300
AT5G19730,AT3G54920,Potri.018G068400,Potri.010G229000
AT5G19890,AT2G25680,Potri.003G214500,Potri.006G246000
AT5G21100,AT1G70530,Potri.009G159700,Potri.010G043900
AT5G22410,AT5G49270,Potri.015G110200,Potri.010G001100
AT5G22410,AT2G20520,Potri.015G110200,Potri.013G120600
AT5G22960,AT4G18780,Potri.004G215400,Potri.004G059600
AT5G22960,AT5G44030,Potri.004G215400,Potri.002G257900
AT5G22980,AT4G18780,Potri.004G215400,Potri.004G059600
AT5G22980,AT5G44030,Potri.004G215400,Potri.002G257900
AT5G23210,AT1G08230,Potri.005G091700,Potri.009G149900
AT5G23870,AT1G18280,Potri.012G142300,Potri.015G036201
AT5G24090,AT3G02210,Potri.015G024200,Potri.004G117100
AT5G24090,AT1G65590,Potri.015G024200,Potri.008G079400
AT5G24090,AT1G05590,Potri.015G024200,Potri.001G232600
AT5G33340,AT1G03103,Potri.014G114400,Potri.010G085400
AT5G33370,AT5G53390,Potri.019G024600,Potri.012G014200
AT5G34940,AT1G24140,Potri.018G121500,Potri.012G104600
AT5G34940,AT4G23140,Potri.018G121500,Potri.011G028400
AT5G34940,AT1G70170,Potri.018G121500,Potri.012G104600
AT5G34940,AT2G45040,Potri.018G121500,Potri.014G058200
AT5G34940,AT4G16640,Potri.018G121500,Potri.001G157500
AT5G34940,AT1G59970,Potri.018G121500,Potri.015G103900
AT5G37180,AT1G06490,Potri.017G139100,Potri.002G058700
AT5G37180,AT1G09960,Potri.017G139100,Potri.002G106900
AT5G38910,AT5G25260,Potri.019G026700,Potri.006G258900
AT5G39130,AT5G42100,Potri.013G051700,Potri.001G449100
AT5G39180,AT5G64440,Potri.019G026200,Potri.001G285900
AT5G39270,AT1G66570,Potri.017G092700,Potri.013G115200
AT5G39270,AT5G06170,Potri.017G092700,Potri.013G115200
AT5G39310,AT1G21240,Potri.017G092700,Potri.002G075951
AT5G39580,AT4G38830,Potri.016G125000,Potri.004G026350
AT5G39580,AT5G25260,Potri.016G125000,Potri.006G258900
AT5G39580,AT2G35980,Potri.016G125000,Potri.016G071600
AT5G41300,AT3G46330,Potri.011G029100,Potri.019G094700
AT5G42180,AT2G36100,Potri.002G018000,Potri.016G075400
AT5G44360,AT5G10770,Potri.011G161800,Potri.018G015100
AT5G44360,AT5G64440,Potri.011G161800,Potri.001G285900
AT5G44380,AT5G64440,Potri.001G463400,Potri.001G285900
AT5G44390,AT5G64440,Potri.011G160900,Potri.001G285900
AT5G44400,AT5G64440,Potri.011G158700,Potri.001G285900
