Receptor_Ath_clean,Ligand_Ath_clean,Ligand_Ath,Receptor_Ath,source,Organism,Ligand_Ptr,Receptor_Ptr,Ligand_Mapped,Receptor_Mapped,Both_Mapped,Ligand_Identity,Ligand_Coverage,Ligand_Evalue,Ligand_Bitscore,Receptor_Identity,Receptor_Coverage,Receptor_Evalue,Receptor_Bitscore
AT1G55330,AT4G15800,AT4G15800,AT1G55330,STRING,Arabidopsis thaliana,Potri.008G208200,Potri.003G220932,TRUE,TRUE,TRUE,60.526,96,7.49e-44,139,61.667,100,7.63e-14,61.6
AT1G55330,AT4G18670,AT4G18670,AT1G55330,STRING,Arabidopsis thaliana,Potri.006G158814,Potri.003G220932,TRUE,TRUE,TRUE,66.067,51,0,592,61.667,100,7.63e-14,61.6
AT1G55350,AT1G47710,AT1G47710,AT1G55350,STRING,Arabidopsis thaliana,Potri.014G036000,Potri.003G221100,TRUE,TRUE,TRUE,64.267,99,7.74e-176,496,80.731,100,0,3499
AT1G55350,AT1G72990,AT1G72990,AT1G55350,STRING,Arabidopsis thaliana,Potri.003G037000,Potri.003G221100,TRUE,TRUE,TRUE,65.452,97,0,931,80.731,100,0,3499
AT1G55350,AT3G53230,AT3G53230,AT1G55350,STRING,Arabidopsis thaliana,Potri.016G091600,Potri.003G221100,TRUE,TRUE,TRUE,91.432,100,0,1531,80.731,100,0,3499
AT1G55350,AT4G04460,AT4G04460,AT1G55350,STRING,Arabidopsis thaliana,Potri.004G007600,Potri.003G221100,TRUE,TRUE,TRUE,64.66,100,0,708,80.731,100,0,3499
AT1G55350,AT5G03340,AT5G03340,AT1G55350,STRING,Arabidopsis thaliana,Potri.016G091600,Potri.003G221100,TRUE,TRUE,TRUE,92.365,100,0,1523,80.731,100,0,3499
AT1G55910,AT5G67070,AT5G67070,AT1G55910,STRING,Arabidopsis thaliana,Potri.005G139100,Potri.001G366100,TRUE,TRUE,TRUE,51.852,100,5.3e-41,133,64.873,88,2.95e-141,404
AT1G56130,AT1G24140,AT1G24140,AT1G56130,orthologs,Arabidopsis thaliana,Potri.012G104600,Potri.007G067900,TRUE,TRUE,TRUE,60.119,87,1.18e-141,408,62.656,99,0,1325
AT1G56130,AT1G59970,AT1G59970,AT1G56130,orthologs,Arabidopsis thaliana,Potri.015G103900,Potri.007G067900,TRUE,TRUE,TRUE,56.215,94,4.79e-137,395,62.656,99,0,1325
AT1G56130,AT1G70170,AT1G70170,AT1G56130,orthologs,Arabidopsis thaliana,Potri.012G104600,Potri.007G067900,TRUE,TRUE,TRUE,57.418,96,7.54e-140,403,62.656,99,0,1325
AT1G56140,AT1G24140,AT1G24140,AT1G56140,orthologs,Arabidopsis thaliana,Potri.012G104600,Potri.007G067900,TRUE,TRUE,TRUE,60.119,87,1.18e-141,408,62.584,99,0,1317
AT1G56140,AT1G59970,AT1G59970,AT1G56140,orthologs,Arabidopsis thaliana,Potri.015G103900,Potri.007G067900,TRUE,TRUE,TRUE,56.215,94,4.79e-137,395,62.584,99,0,1317
AT1G56140,AT1G70170,AT1G70170,AT1G56140,orthologs,Arabidopsis thaliana,Potri.012G104600,Potri.007G067900,TRUE,TRUE,TRUE,57.418,96,7.54e-140,403,62.584,99,0,1317
AT1G59970,AT1G15020,AT1G15020,AT1G59970,STRING,Arabidopsis thaliana,Potri.008G127300,Potri.015G103900,TRUE,TRUE,TRUE,64.844,95,0,703,56.215,94,4.79e-137,395
AT1G59970,AT1G31670,AT1G31670,AT1G59970,STRING,Arabidopsis thaliana,Potri.010G089050,Potri.015G103900,TRUE,TRUE,TRUE,54.709,88,0,753,56.215,94,4.79e-137,395
AT1G59970,AT1G47710,AT1G47710,AT1G59970,STRING,Arabidopsis thaliana,Potri.014G036000,Potri.015G103900,TRUE,TRUE,TRUE,64.267,99,7.74e-176,496,56.215,94,4.79e-137,395
AT1G59970,AT1G72990,AT1G72990,AT1G59970,STRING,Arabidopsis thaliana,Potri.003G037000,Potri.015G103900,TRUE,TRUE,TRUE,65.452,97,0,931,56.215,94,4.79e-137,395
AT1G59970,AT1G78660,AT1G78660,AT1G59970,STRING,Arabidopsis thaliana,Potri.003G026800,Potri.015G103900,TRUE,TRUE,TRUE,69.565,92,2.76e-172,485,56.215,94,4.79e-137,395
AT1G59970,AT1G78670,AT1G78670,AT1G59970,STRING,Arabidopsis thaliana,Potri.003G026800,Potri.015G103900,TRUE,TRUE,TRUE,63.687,99,1.04e-162,461,56.215,94,4.79e-137,395
AT1G59970,AT1G78680,AT1G78680,AT1G59970,STRING,Arabidopsis thaliana,Potri.003G026800,Potri.015G103900,TRUE,TRUE,TRUE,69.253,98,0,507,56.215,94,4.79e-137,395
AT1G59970,AT2G01270,AT2G01270,AT1G59970,STRING,Arabidopsis thaliana,Potri.008G127300,Potri.015G103900,TRUE,TRUE,TRUE,68.639,99,0,721,56.215,94,4.79e-137,395
AT1G59970,AT3G53230,AT3G53230,AT1G59970,STRING,Arabidopsis thaliana,Potri.016G091600,Potri.015G103900,TRUE,TRUE,TRUE,91.432,100,0,1531,56.215,94,4.79e-137,395
AT1G59970,AT3G56310,AT3G56310,AT1G59970,STRING,Arabidopsis thaliana,Potri.019G056700,Potri.015G103900,TRUE,TRUE,TRUE,73.227,99,0,681,56.215,94,4.79e-137,395
AT1G59970,AT4G04460,AT4G04460,AT1G59970,STRING,Arabidopsis thaliana,Potri.004G007600,Potri.015G103900,TRUE,TRUE,TRUE,64.66,100,0,708,56.215,94,4.79e-137,395
AT1G59970,AT4G14940,AT4G14940,AT1G59970,STRING,Arabidopsis thaliana,Potri.010G088900,Potri.015G103900,TRUE,TRUE,TRUE,65.485,99,0,929,56.215,94,4.79e-137,395
AT1G59970,AT5G03340,AT5G03340,AT1G59970,STRING,Arabidopsis thaliana,Potri.016G091600,Potri.015G103900,TRUE,TRUE,TRUE,92.365,100,0,1523,56.215,94,4.79e-137,395
AT1G59970,AT5G07830,AT5G07830,AT1G59970,STRING,Arabidopsis thaliana,Potri.015G049100,Potri.015G103900,TRUE,TRUE,TRUE,67.904,99,0,741,56.215,94,4.79e-137,395
AT1G59970,AT5G34940,AT5G34940,AT1G59970,STRING,Arabidopsis thaliana,Potri.018G121500,Potri.015G103900,TRUE,TRUE,TRUE,66.052,99,0,762,56.215,94,4.79e-137,395
AT1G59970,AT5G61250,AT5G61250,AT1G59970,STRING,Arabidopsis thaliana,Potri.015G049100,Potri.015G103900,TRUE,TRUE,TRUE,64.63,99,0,723,56.215,94,4.79e-137,395
AT1G60630,AT1G24140,AT1G24140,AT1G60630,orthologs,Arabidopsis thaliana,Potri.012G104600,Potri.010G097200,TRUE,TRUE,TRUE,60.119,87,1.18e-141,408,62.935,99,0,828
AT1G60630,AT1G59970,AT1G59970,AT1G60630,orthologs,Arabidopsis thaliana,Potri.015G103900,Potri.010G097200,TRUE,TRUE,TRUE,56.215,94,4.79e-137,395,62.935,99,0,828
AT1G60630,AT1G70170,AT1G70170,AT1G60630,orthologs,Arabidopsis thaliana,Potri.012G104600,Potri.010G097200,TRUE,TRUE,TRUE,57.418,96,7.54e-140,403,62.935,99,0,828
AT1G61370,AT1G14700,AT1G14700,AT1G61370,IntAct,Arabidopsis thaliana,Potri.008G139125,Potri.011G039100,TRUE,TRUE,TRUE,67.823,86,2.67e-169,476,44.91,99,0,709
AT1G61590,AT5G59090,AT5G59090,AT1G61590,STRING,Arabidopsis thaliana,Potri.009G038001,Potri.003G105400,TRUE,TRUE,TRUE,55.249,98,0,786,76.683,97,0,644
AT1G61610,AT1G14700,AT1G14700,AT1G61610,IntAct,Arabidopsis thaliana,Potri.008G139125,Potri.011G037300,TRUE,TRUE,TRUE,67.823,86,2.67e-169,476,54.556,98,0,924
AT1G62262,AT5G60805,AT5G60805,AT1G62262,STRING,Arabidopsis thaliana,,Potri.001G114300,FALSE,TRUE,FALSE,,,,,38.115,67,4.77e-50,172
AT1G62280,AT5G60805,AT5G60805,AT1G62280,STRING,Arabidopsis thaliana,,Potri.001G114300,FALSE,TRUE,FALSE,,,,,36.885,63,2.48e-50,173
AT1G62360,AT2G27250,AT2G27250,AT1G62360,STRING,Arabidopsis thaliana,,Potri.011G011101,FALSE,TRUE,FALSE,,,,,69.191,99,3.53e-162,460
AT1G62400,AT4G12970,AT4G12970,AT1G62400,STRING,Arabidopsis thaliana,Potri.002G249901,Potri.004G001900,TRUE,TRUE,TRUE,54.455,86,1.99e-33,112,87.572,100,0,624
AT1G63430,AT5G15180,AT5G15180,AT1G63430,STRING,Arabidopsis thaliana,Potri.007G122351,Potri.003G124800,TRUE,TRUE,TRUE,61.631,100,8.89e-150,424,64.68,99,0,895
AT1G63700,AT1G04110,AT1G04110,AT1G63700,STRING,Arabidopsis thaliana,Potri.002G256300,Potri.001G102900,TRUE,TRUE,TRUE,70.321,96,0,1088,63.797,99,0,1018
AT1G63700,AT1G34245,AT1G34245,AT1G63700,STRING,Arabidopsis thaliana,Potri.013G116600,Potri.001G102900,TRUE,TRUE,TRUE,51.402,88,1.42e-30,106,63.797,99,0,1018
AT1G63700,AT2G20875,AT2G20875,AT1G63700,STRING,Arabidopsis thaliana,Potri.013G136100,Potri.001G102900,TRUE,TRUE,TRUE,57.759,95,2.42e-36,120,63.797,99,0,1018
AT1G64060,AT1G47710,AT1G47710,AT1G64060,STRING,Arabidopsis thaliana,Potri.014G036000,Potri.003G133300,TRUE,TRUE,TRUE,64.267,99,7.74e-176,496,77.382,99,0,1519
AT1G64060,AT1G68560,AT1G68560,AT1G64060,STRING,Arabidopsis thaliana,Potri.008G120000,Potri.003G133300,TRUE,TRUE,TRUE,76.76,97,0,1466,77.382,99,0,1519
AT1G64060,AT3G17790,AT3G17790,AT1G64060,STRING,Arabidopsis thaliana,Potri.015G031400,Potri.003G133300,TRUE,TRUE,TRUE,66.667,97,1.48e-168,473,77.382,99,0,1519
AT1G64060,AT3G45940,AT3G45940,AT1G64060,STRING,Arabidopsis thaliana,Potri.008G120000,Potri.003G133300,TRUE,TRUE,TRUE,67.038,96,0,1238,77.382,99,0,1519
AT1G64060,AT4G26010,AT4G26010,AT1G64060,STRING,Arabidopsis thaliana,Potri.013G066800,Potri.003G133300,TRUE,TRUE,TRUE,55.921,97,6.23e-124,359,77.382,99,0,1519
AT1G64210,AT1G24140,AT1G24140,AT1G64210,orthologs,Arabidopsis thaliana,Potri.012G104600,Potri.003G136100,TRUE,TRUE,TRUE,60.119,87,1.18e-141,408,52.709,98,0,618
AT1G64210,AT1G59970,AT1G59970,AT1G64210,orthologs,Arabidopsis thaliana,Potri.015G103900,Potri.003G136100,TRUE,TRUE,TRUE,56.215,94,4.79e-137,395,52.709,98,0,618
AT1G64210,AT1G70170,AT1G70170,AT1G64210,orthologs,Arabidopsis thaliana,Potri.012G104600,Potri.003G136100,TRUE,TRUE,TRUE,57.418,96,7.54e-140,403,52.709,98,0,618
AT1G65380,AT1G05065,AT1G05065,AT1G65380,literature,Arabidopsis thaliana,,Potri.013G087200,FALSE,TRUE,FALSE,,,,,66.003,97,0,883
AT1G65380,AT1G26600,AT1G26600,AT1G65380,literature,Arabidopsis thaliana,Potri.008G093500,Potri.013G087200,TRUE,TRUE,TRUE,53.425,57,3.46e-12,59.3,66.003,97,0,883
AT1G65380,AT1G49005,AT1G49005,AT1G65380,literature,Arabidopsis thaliana,,Potri.013G087200,FALSE,TRUE,FALSE,,,,,66.003,97,0,883
AT1G65380,AT1G63245,AT1G63245,AT1G65380,literature,Arabidopsis thaliana,,Potri.013G087200,FALSE,TRUE,FALSE,,,,,66.003,97,0,883
AT1G65380,AT1G66145,AT1G66145,AT1G65380,STRING,Arabidopsis thaliana,,Potri.013G087200,FALSE,TRUE,FALSE,,,,,66.003,97,0,883
AT1G65380,AT1G66145,AT1G66145,AT1G65380,literature,Arabidopsis thaliana,,Potri.013G087200,FALSE,TRUE,FALSE,,,,,66.003,97,0,883
AT1G65380,AT1G67775,AT1G67775,AT1G65380,literature,Arabidopsis thaliana,,Potri.013G087200,FALSE,TRUE,FALSE,,,,,66.003,97,0,883
AT1G65380,AT1G69320,AT1G69320,AT1G65380,STRING,Arabidopsis thaliana,Potri.008G093500,Potri.013G087200,TRUE,TRUE,TRUE,47.475,87,1.43e-13,62.4,66.003,97,0,883
AT1G65380,AT1G69320,AT1G69320,AT1G65380,literature,Arabidopsis thaliana,Potri.008G093500,Potri.013G087200,TRUE,TRUE,TRUE,47.475,87,1.43e-13,62.4,66.003,97,0,883
AT1G65380,AT1G69588,AT1G69588,AT1G65380,literature,Arabidopsis thaliana,,Potri.013G087200,FALSE,TRUE,FALSE,,,,,66.003,97,0,883
AT1G65380,AT1G69970,AT1G69970,AT1G65380,STRING,Arabidopsis thaliana,,Potri.013G087200,FALSE,TRUE,FALSE,,,,,66.003,97,0,883
AT1G65380,AT1G69970,AT1G69970,AT1G65380,literature,Arabidopsis thaliana,,Potri.013G087200,FALSE,TRUE,FALSE,,,,,66.003,97,0,883
AT1G65380,AT1G70895,AT1G70895,AT1G65380,literature,Arabidopsis thaliana,,Potri.013G087200,FALSE,TRUE,FALSE,,,,,66.003,97,0,883
AT1G65380,AT1G73165,AT1G73165,AT1G65380,STRING,Arabidopsis thaliana,,Potri.013G087200,FALSE,TRUE,FALSE,,,,,66.003,97,0,883
AT1G65380,AT1G73965,AT1G73965,AT1G65380,literature,Arabidopsis thaliana,Potri.010G130400,Potri.013G087200,TRUE,TRUE,TRUE,44.348,96,1.24e-19,77.8,66.003,97,0,883
AT1G65380,AT2G01505,AT2G01505,AT1G65380,literature,Arabidopsis thaliana,,Potri.013G087200,FALSE,TRUE,FALSE,,,,,66.003,97,0,883
AT1G65380,AT2G27250,AT2G27250,AT1G65380,STRING,Arabidopsis thaliana,,Potri.013G087200,FALSE,TRUE,FALSE,,,,,66.003,97,0,883
AT1G65380,AT2G27250,AT2G27250,AT1G65380,literature,Arabidopsis thaliana,,Potri.013G087200,FALSE,TRUE,FALSE,,,,,66.003,97,0,883
AT1G65380,AT3G24225,AT3G24225,AT1G65380,STRING,Arabidopsis thaliana,,Potri.013G087200,FALSE,TRUE,FALSE,,,,,66.003,97,0,883
AT1G65380,AT3G24770,AT3G24770,AT1G65380,STRING,Arabidopsis thaliana,Potri.002G241300,Potri.013G087200,TRUE,TRUE,TRUE,56.452,51,6.51e-13,60.8,66.003,97,0,883
AT1G65380,AT3G24770,AT3G24770,AT1G65380,literature,Arabidopsis thaliana,Potri.002G241300,Potri.013G087200,TRUE,TRUE,TRUE,56.452,51,6.51e-13,60.8,66.003,97,0,883
AT1G65380,AT3G28455,AT3G28455,AT1G65380,STRING,Arabidopsis thaliana,Potri.017G074600,Potri.013G087200,TRUE,TRUE,TRUE,47.253,95,2.06e-20,78.2,66.003,97,0,883
AT1G65380,AT3G28455,AT3G28455,AT1G65380,literature,Arabidopsis thaliana,Potri.017G074600,Potri.013G087200,TRUE,TRUE,TRUE,47.253,95,2.06e-20,78.2,66.003,97,0,883
AT1G65380,AT4G13195,AT4G13195,AT1G65380,literature,Arabidopsis thaliana,,Potri.013G087200,FALSE,TRUE,FALSE,,,,,66.003,97,0,883
AT1G65380,AT4G18510,AT4G18510,AT1G65380,STRING,Arabidopsis thaliana,,Potri.013G087200,FALSE,TRUE,FALSE,,,,,66.003,97,0,883
AT1G65380,AT5G12990,AT5G12990,AT1G65380,STRING,Arabidopsis thaliana,,Potri.013G087200,FALSE,TRUE,FALSE,,,,,66.003,97,0,883
AT1G65380,AT5G12990,AT5G12990,AT1G65380,literature,Arabidopsis thaliana,,Potri.013G087200,FALSE,TRUE,FALSE,,,,,66.003,97,0,883
AT1G65380,AT5G64800,AT5G64800,AT1G65380,literature,Arabidopsis thaliana,,Potri.013G087200,FALSE,TRUE,FALSE,,,,,66.003,97,0,883
AT1G65590,AT1G14700,AT1G14700,AT1G65590,STRING,Arabidopsis thaliana,Potri.008G139125,Potri.008G079400,TRUE,TRUE,TRUE,67.823,86,2.67e-169,476,70.677,99,0,803
AT1G65590,AT1G47710,AT1G47710,AT1G65590,STRING,Arabidopsis thaliana,Potri.014G036000,Potri.008G079400,TRUE,TRUE,TRUE,64.267,99,7.74e-176,496,70.677,99,0,803
AT1G65590,AT1G72990,AT1G72990,AT1G65590,STRING,Arabidopsis thaliana,Potri.003G037000,Potri.008G079400,TRUE,TRUE,TRUE,65.452,97,0,931,70.677,99,0,803
AT1G65590,AT1G78660,AT1G78660,AT1G65590,STRING,Arabidopsis thaliana,Potri.003G026800,Potri.008G079400,TRUE,TRUE,TRUE,69.565,92,2.76e-172,485,70.677,99,0,803
AT1G65590,AT1G78670,AT1G78670,AT1G65590,STRING,Arabidopsis thaliana,Potri.003G026800,Potri.008G079400,TRUE,TRUE,TRUE,63.687,99,1.04e-162,461,70.677,99,0,803
AT1G65590,AT1G78680,AT1G78680,AT1G65590,STRING,Arabidopsis thaliana,Potri.003G026800,Potri.008G079400,TRUE,TRUE,TRUE,69.253,98,0,507,70.677,99,0,803
AT1G65590,AT2G28100,AT2G28100,AT1G65590,STRING,Arabidopsis thaliana,Potri.009G006900,Potri.008G079400,TRUE,TRUE,TRUE,73.708,88,0,706,70.677,99,0,803
AT1G65590,AT3G52840,AT3G52840,AT1G65590,STRING,Arabidopsis thaliana,Potri.006G144500,Potri.008G079400,TRUE,TRUE,TRUE,74.011,97,0,1140,70.677,99,0,803
AT1G65590,AT3G53230,AT3G53230,AT1G65590,STRING,Arabidopsis thaliana,Potri.016G091600,Potri.008G079400,TRUE,TRUE,TRUE,91.432,100,0,1531,70.677,99,0,803
AT1G65590,AT3G56310,AT3G56310,AT1G65590,STRING,Arabidopsis thaliana,Potri.019G056700,Potri.008G079400,TRUE,TRUE,TRUE,73.227,99,0,681,70.677,99,0,803
AT1G65590,AT5G03340,AT5G03340,AT1G65590,STRING,Arabidopsis thaliana,Potri.016G091600,Potri.008G079400,TRUE,TRUE,TRUE,92.365,100,0,1523,70.677,99,0,803
AT1G65590,AT5G08370,AT5G08370,AT1G65590,STRING,Arabidopsis thaliana,Potri.018G152200,Potri.008G079400,TRUE,TRUE,TRUE,76.374,92,0,603,70.677,99,0,803
AT1G65590,AT5G08380,AT5G08380,AT1G65590,STRING,Arabidopsis thaliana,Potri.010G255200,Potri.008G079400,TRUE,TRUE,TRUE,83.784,90,0,667,70.677,99,0,803
AT1G65590,AT5G24090,AT5G24090,AT1G65590,STRING,Arabidopsis thaliana,Potri.015G024200,Potri.008G079400,TRUE,TRUE,TRUE,74.91,92,3.15e-155,436,70.677,99,0,803
AT1G65690,AT1G26420,AT1G26420,AT1G65690,STRING,Arabidopsis thaliana,Potri.001G459200,Potri.015G148200,TRUE,TRUE,TRUE,57.803,97,0,607,54.945,100,1.45e-93,276
AT1G66250,AT2G36190,AT2G36190,AT1G66250,STRING,Arabidopsis thaliana,Potri.016G077400,Potri.004G086400,TRUE,TRUE,TRUE,65.241,94,0,761,73.022,97,0,749
AT1G66250,AT2G44450,AT2G44450,AT1G66250,STRING,Arabidopsis thaliana,Potri.004G040700,Potri.004G086400,TRUE,TRUE,TRUE,54.825,95,0,572,73.022,97,0,749
AT1G66250,AT3G13784,AT3G13784,AT1G66250,STRING,Arabidopsis thaliana,Potri.006G227400,Potri.004G086400,TRUE,TRUE,TRUE,55.97,93,0,606,73.022,97,0,749
AT1G66250,AT3G13790,AT3G13790,AT1G66250,STRING,Arabidopsis thaliana,Potri.006G227400,Potri.004G086400,TRUE,TRUE,TRUE,60.644,95,0,703,73.022,97,0,749
AT1G66250,AT3G18080,AT3G18080,AT1G66250,STRING,Arabidopsis thaliana,Potri.015G041300,Potri.004G086400,TRUE,TRUE,TRUE,79.01,97,0,841,73.022,97,0,749
AT1G66250,AT3G45940,AT3G45940,AT1G66250,STRING,Arabidopsis thaliana,Potri.008G120000,Potri.004G086400,TRUE,TRUE,TRUE,67.038,96,0,1238,73.022,97,0,749
AT1G66250,AT5G11920,AT5G11920,AT1G66250,STRING,Arabidopsis thaliana,Potri.006G227500,Potri.004G086400,TRUE,TRUE,TRUE,58.932,98,0,646,73.022,97,0,749
AT1G66570,AT5G39270,AT5G39270,AT1G66570,STRING,Arabidopsis thaliana,Potri.017G092700,Potri.013G115200,TRUE,TRUE,TRUE,62.771,87,3.41e-106,308,66.803,95,0,634
AT1G67265,AT3G23805,AT3G23805,AT1G67265,STRING,Arabidopsis thaliana,Potri.017G059500,Potri.004G102950,TRUE,TRUE,TRUE,61.111,73,1.93e-30,106,73.171,100,3.69e-16,64.3
AT1G67265,AT4G14010,AT4G14010,AT1G67265,STRING,Arabidopsis thaliana,Potri.017G059800,Potri.004G102950,TRUE,TRUE,TRUE,47.059,100,6.38e-29,101,73.171,100,3.69e-16,64.3
AT1G67265,AT4G15800,AT4G15800,AT1G67265,STRING,Arabidopsis thaliana,Potri.008G208200,Potri.004G102950,TRUE,TRUE,TRUE,60.526,96,7.49e-44,139,73.171,100,3.69e-16,64.3
AT1G67560,AT1G73680,AT1G73680,AT1G67560,orthologs,Arabidopsis thaliana,Potri.012G049500,Potri.010G057100,TRUE,TRUE,TRUE,71.963,100,0,998,65.389,96,0,1175
AT1G67560,AT3G01420,AT3G01420,AT1G67560,orthologs,Arabidopsis thaliana,Potri.008G106400,Potri.010G057100,TRUE,TRUE,TRUE,74.335,99,0,996,65.389,96,0,1175
AT1G68400,AT1G24140,AT1G24140,AT1G68400,orthologs,Arabidopsis thaliana,Potri.012G104600,Potri.010G121700,TRUE,TRUE,TRUE,60.119,87,1.18e-141,408,66.715,99,0,861
AT1G68400,AT1G59970,AT1G59970,AT1G68400,orthologs,Arabidopsis thaliana,Potri.015G103900,Potri.010G121700,TRUE,TRUE,TRUE,56.215,94,4.79e-137,395,66.715,99,0,861
AT1G68400,AT1G70170,AT1G70170,AT1G68400,orthologs,Arabidopsis thaliana,Potri.012G104600,Potri.010G121700,TRUE,TRUE,TRUE,57.418,96,7.54e-140,403,66.715,99,0,861
AT1G68725,AT1G28290,AT1G28290,AT1G68725,STRING,Arabidopsis thaliana,,,FALSE,FALSE,FALSE,,,,,,,,
AT1G68725,AT2G13820,AT2G13820,AT1G68725,STRING,Arabidopsis thaliana,Potri.001G210100,,TRUE,FALSE,FALSE,49.635,81,3.12e-37,127,,,,
AT1G68725,AT2G33790,AT2G33790,AT1G68725,STRING,Arabidopsis thaliana,Potri.011G053600,,TRUE,FALSE,FALSE,38.521,100,9.51e-39,135,,,,
AT1G69730,AT1G02920,AT1G02920,AT1G69730,orthologs,Arabidopsis thaliana,Potri.002G207479,Potri.003G185688,TRUE,TRUE,TRUE,62.201,99,6.99e-90,263,47.619,89,0,626
AT1G69730,AT1G02930,AT1G02930,AT1G69730,orthologs,Arabidopsis thaliana,Potri.002G207479,Potri.003G185688,TRUE,TRUE,TRUE,62.019,99,1.65e-91,267,47.619,89,0,626
AT1G69730,AT1G02940,AT1G02940,AT1G69730,orthologs,Arabidopsis thaliana,Potri.002G207479,Potri.003G185688,TRUE,TRUE,TRUE,52.427,80,1.26e-73,224,47.619,89,0,626
AT1G69730,AT1G02950,AT1G02950,AT1G69730,orthologs,Arabidopsis thaliana,Potri.002G207479,Potri.003G185688,TRUE,TRUE,TRUE,58.252,84,6.3e-87,257,47.619,89,0,626
AT1G69730,AT1G13230,AT1G13230,AT1G69730,orthologs,Arabidopsis thaliana,Potri.008G114700,Potri.003G185688,TRUE,TRUE,TRUE,59.233,97,8.14e-165,472,47.619,89,0,626
AT1G69730,AT1G17240,AT1G17240,AT1G69730,orthologs,Arabidopsis thaliana,Potri.003G074000,Potri.003G185688,TRUE,TRUE,TRUE,49.588,98,0,653,47.619,89,0,626
AT1G69730,AT1G17250,AT1G17250,AT1G69730,orthologs,Arabidopsis thaliana,Potri.003G074000,Potri.003G185688,TRUE,TRUE,TRUE,53.019,89,0,684,47.619,89,0,626
AT1G69730,AT1G23410,AT1G23410,AT1G69730,orthologs,Arabidopsis thaliana,Potri.001G025300,Potri.003G185688,TRUE,TRUE,TRUE,92.157,97,6.81e-86,249,47.619,89,0,626
AT1G69730,AT1G23490,AT1G23490,AT1G69730,orthologs,Arabidopsis thaliana,Potri.013G005500,Potri.003G185688,TRUE,TRUE,TRUE,98.901,100,5.74e-134,372,47.619,89,0,626
AT1G69730,AT1G49860,AT1G49860,AT1G69730,orthologs,Arabidopsis thaliana,Potri.002G207093,Potri.003G185688,TRUE,TRUE,TRUE,47.642,83,1.81e-60,190,47.619,89,0,626
AT1G69730,AT1G68090,AT1G68090,AT1G69730,orthologs,Arabidopsis thaliana,Potri.008G139500,Potri.003G185688,TRUE,TRUE,TRUE,56.55,99,4.6e-126,363,47.619,89,0,626
AT1G69730,AT1G70490,AT1G70490,AT1G69730,orthologs,Arabidopsis thaliana,Potri.013G005500,Potri.003G185688,TRUE,TRUE,TRUE,98.901,100,5.74e-134,372,47.619,89,0,626
AT1G69730,AT1G74200,AT1G74200,AT1G69730,orthologs,Arabidopsis thaliana,Potri.011G104600,Potri.003G185688,TRUE,TRUE,TRUE,37.354,86,3.59e-37,141,47.619,89,0,626
AT1G69730,AT1G80080,AT1G80080,AT1G69730,orthologs,Arabidopsis thaliana,Potri.001G202100,Potri.003G185688,TRUE,TRUE,TRUE,63.362,93,0,598,47.619,89,0,626
AT1G69730,AT2G02930,AT2G02930,AT1G69730,orthologs,Arabidopsis thaliana,Potri.002G207479,Potri.003G185688,TRUE,TRUE,TRUE,62.264,99,2.45e-89,262,47.619,89,0,626
AT1G69730,AT2G26300,AT2G26300,AT1G69730,orthologs,Arabidopsis thaliana,Potri.018G048600,Potri.003G185688,TRUE,TRUE,TRUE,85.455,100,0,684,47.619,89,0,626
AT1G69730,AT2G30860,AT2G30860,AT1G69730,orthologs,Arabidopsis thaliana,Potri.017G138800,Potri.003G185688,TRUE,TRUE,TRUE,51.869,99,1.29e-78,235,47.619,89,0,626
AT1G69730,AT2G30870,AT2G30870,AT1G69730,orthologs,Arabidopsis thaliana,Potri.017G138800,Potri.003G185688,TRUE,TRUE,TRUE,51.442,96,1.96e-76,229,47.619,89,0,626
AT1G69730,AT2G36170,AT2G36170,AT1G69730,orthologs,Arabidopsis thaliana,Potri.016G077200,Potri.003G185688,TRUE,TRUE,TRUE,98.45,100,2.21e-91,260,47.619,89,0,626
AT1G69730,AT2G42800,AT2G42800,AT1G69730,orthologs,Arabidopsis thaliana,Potri.008G211800,Potri.003G185688,TRUE,TRUE,TRUE,63.532,92,9.24e-180,510,47.619,89,0,626
AT1G69730,AT2G47110,AT2G47110,AT1G69730,orthologs,Arabidopsis thaliana,Potri.001G025300,Potri.003G185688,TRUE,TRUE,TRUE,96.129,98,1.03e-107,304,47.619,89,0,626
AT1G69730,AT2G47730,AT2G47730,AT1G69730,orthologs,Arabidopsis thaliana,Potri.002G207479,Potri.003G185688,TRUE,TRUE,TRUE,61.792,80,2.59e-91,269,47.619,89,0,626
AT1G69730,AT3G03190,AT3G03190,AT1G69730,orthologs,Arabidopsis thaliana,Potri.017G138800,Potri.003G185688,TRUE,TRUE,TRUE,57.674,100,1.7e-88,260,47.619,89,0,626
AT1G69730,AT3G12145,AT3G12145,AT1G69730,orthologs,Arabidopsis thaliana,Potri.006G058600,Potri.003G185688,TRUE,TRUE,TRUE,52.303,93,2.64e-105,311,47.619,89,0,626
AT1G69730,AT3G12610,AT3G12610,AT1G69730,orthologs,Arabidopsis thaliana,Potri.009G064300,Potri.003G185688,TRUE,TRUE,TRUE,65.527,94,1.02e-171,483,47.619,89,0,626
AT1G69730,AT3G23010,AT3G23010,AT1G69730,orthologs,Arabidopsis thaliana,Potri.001G389100,Potri.003G185688,TRUE,TRUE,TRUE,38.739,99,1.94e-115,367,47.619,89,0,626
